id,product_name,price,spf,skin_type,appearance,extra_features,volume,usage,form,product_url,type,anti_aging,origin,reviews_url
1,La Roche Posay Anthelios Uvmune 400 Spf50+ Melasyl İçeren Koyu Leke Karşıtı Akışkan Koruyucu Yüz Güneş Kremi 50ML,664.0,SPF 50 +,Tüm Cilt Tipleri,Renksiz,Alkol İçermeyen,50 ml,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/la-roche-posay/anthelios-uvmune-400-spf50-melasyl-iceren-koyu-leke-karsiti-akiskan-koruyucu-yuz-gunes-kremi-50ml-p-898551092?boutiqueId=61&merchantId=126036,Tüp,null,FR,https://www.trendyol.com/la-roche-posay/anthelios-uvmune-400-spf50-melasyl-iceren-koyu-leke-karsiti-akiskan-koruyucu-yuz-gunes-kremi-50ml-p-898551092/yorumlar?boutiqueId=61&merchantId=126036
2,Fiolas Queens Magıc Dry Oıl Body & Nail - Vücut Ve Tırnak Yağı,2026.0,SPF 50 +,Tüm Cilt Tipleri,Transparan,null,1 - 15 ml,null,null,https://www.trendyol.com/fiolas/queens-magic-dry-oil-body-nail-vucut-ve-tirnak-yagi-p-118213583?boutiqueId=61&merchantId=115778,Şişe,Hayır,null,https://www.trendyol.com/fiolas/queens-magic-dry-oil-body-nail-vucut-ve-tirnak-yagi-p-118213583/yorumlar?boutiqueId=61&merchantId=115778
3,VEROBENE Su Bazlı Ekstra Nemlendirici Güneş Kremi Aqua Sun Cream 70ml,579.0,SPF 50 +,Tüm Cilt Tipleri,Renkli,Anti Alerjik,70 ml,Nemlendirici,Krem,https://www.trendyol.com/verobene/su-bazli-ekstra-nemlendirici-gunes-kremi-aqua-sun-cream-70ml-p-833682615?boutiqueId=61&merchantId=959387,Tüp,Evet,null,https://www.trendyol.com/verobene/su-bazli-ekstra-nemlendirici-gunes-kremi-aqua-sun-cream-70ml-p-833682615/yorumlar?boutiqueId=61&merchantId=959387
4,Vichy Pürüzsüz Görünüm İçin Cilt Bakım Seti: Capital Soleil Renkli Güneş Kremi SPF50+ &Yüz Temizleme Jeli,664.0,SPF 50 +,Tüm Cilt Tipleri,Renkli,Paraben İçermeyen,null,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/vichy/puruzsuz-gorunum-icin-cilt-bakim-seti-capital-soleil-renkli-gunes-kremi-spf50-yuz-temizleme-jeli-p-39020856?boutiqueId=61&merchantId=803195,Tüp,null,null,https://www.trendyol.com/vichy/puruzsuz-gorunum-icin-cilt-bakim-seti-capital-soleil-renkli-gunes-kremi-spf50-yuz-temizleme-jeli-p-39020856/yorumlar?boutiqueId=61&merchantId=803195
5,"La Roche Posay Yağlı Ciltler İçin Cilt Bakım Seti:Anthelios Renkli Güneş Kremi, Effaclar Duo+M,Temizleme Jeli",1245.0,Korumasız,Yağlı,Renkli,Anti Alerjik,null,null,Yağ,https://www.trendyol.com/la-roche-posay/yagli-ciltler-icin-cilt-bakim-seti-anthelios-renkli-gunes-kremi-effaclar-duo-m-temizleme-jeli-p-806371778?boutiqueId=61&merchantId=365501,Tüp,null,null,https://www.trendyol.com/la-roche-posay/yagli-ciltler-icin-cilt-bakim-seti-anthelios-renkli-gunes-kremi-effaclar-duo-m-temizleme-jeli-p-806371778/yorumlar?boutiqueId=61&merchantId=365501
6,"The Ceel Leke Karşıtı Ton Eşitleyen Spf 50 Pembe Renkli Güneş Kremi Glutatyon, Hyaluronik Asit Etkili 50 ml",349.9,SPF 50 +,Tüm Cilt Tipleri,Renkli,Paraben İçermeyen,50 ml,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/the-ceel/leke-karsiti-ton-esitleyen-spf-50-pembe-renkli-gunes-kremi-glutatyon-hyaluronik-asit-etkili-50-ml-p-708727478?boutiqueId=61&merchantId=831696,Tüp,Hayır,TR,https://www.trendyol.com/the-ceel/leke-karsiti-ton-esitleyen-spf-50-pembe-renkli-gunes-kremi-glutatyon-hyaluronik-asit-etkili-50-ml-p-708727478/yorumlar?boutiqueId=61&merchantId=831696
7,JUSTEPUR Sun Shield Stick Yüz Güneş Kremi Suya Dayanıklı SPF 50+ PA++ UVA UVB Yüksek Koruma 15 gr Çevirmeli,349.0,SPF 50 +,Tüm Cilt Tipleri,Renkli,Parfüm İçermeyen,1 - 15 ml,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/justepur/sun-shield-stick-yuz-gunes-kremi-suya-dayanikli-spf-50-pa-uva-uvb-yuksek-koruma-15-gr-cevirmeli-p-843766417?boutiqueId=61&merchantId=996177,Stick,Hayır,null,https://www.trendyol.com/justepur/sun-shield-stick-yuz-gunes-kremi-suya-dayanikli-spf-50-pa-uva-uvb-yuksek-koruma-15-gr-cevirmeli-p-843766417/yorumlar?boutiqueId=61&merchantId=996177
8,"Soltis Nemlendirici Ultra Hafif Güneş Koruyucu Krem SPF50+ Pa++++, 50 ml",356.78,SPF 50 +,Tüm Cilt Tipleri,Renksiz,Parfüm İçermeyen,50 ml,Nemlendirici,Krem,https://www.trendyol.com/soltis/nemlendirici-ultra-hafif-gunes-koruyucu-krem-spf50-pa-50-ml-p-797078751?boutiqueId=61&merchantId=163501,Tüp,Evet,null,https://www.trendyol.com/soltis/nemlendirici-ultra-hafif-gunes-koruyucu-krem-spf50-pa-50-ml-p-797078751/yorumlar?boutiqueId=61&merchantId=163501
9,Bioderma Photoderm Cream SPF50+ Kuru Ciltler için Yüksek Korumalı Yüz Güneş Kremi 40 ml,594.9,SPF 50 +,Kuru,Renksiz,Paraben İçermeyen,40 ml,Nemlendirici,Krem,https://www.trendyol.com/bioderma/photoderm-cream-spf50-kuru-ciltler-icin-yuksek-korumali-yuz-gunes-kremi-40-ml-p-266429489?boutiqueId=61&merchantId=214643,Tüp,Evet,null,https://www.trendyol.com/bioderma/photoderm-cream-spf50-kuru-ciltler-icin-yuksek-korumali-yuz-gunes-kremi-40-ml-p-266429489/yorumlar?boutiqueId=61&merchantId=214643
10,phytoil Organik Kolajen Onarıcı Mineral Güneş Kremi 50ml Photoprotection Spf50,,SPF 50 +,Tüm Cilt Tipleri,Renksiz,Vegan,50 ml,null,Krem,https://www.trendyol.com/phytoil/organik-kolajen-onarici-mineral-gunes-kremi-50ml-photoprotection-spf50-p-687767908?boutiqueId=61&merchantId=571167,Şişe,null,null,https://www.trendyol.com/phytoil/organik-kolajen-onarici-mineral-gunes-kremi-50ml-photoprotection-spf50-p-687767908/yorumlar?boutiqueId=61&merchantId=571167
11,"CALLİEL Ton Eşitleyici , Aydınlatıcı Spf 50+ Renkli Güneş Kremi Glutatyon, Hyaluronik Asit Etkili 50 ml",394.9,SPF 50 +,Tüm Cilt Tipleri,Renkli,Vegan,50 ml,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/calliel/ton-esitleyici-aydinlatici-spf-50-renkli-gunes-kremi-glutatyon-hyaluronik-asit-etkili-50-ml-p-824080398?boutiqueId=61&merchantId=830154,Tüp,Evet,null,https://www.trendyol.com/calliel/ton-esitleyici-aydinlatici-spf-50-renkli-gunes-kremi-glutatyon-hyaluronik-asit-etkili-50-ml-p-824080398/yorumlar?boutiqueId=61&merchantId=830154
12,Sebamed Sun Care UVA / UVB Filtresi ve E Vitamini Üçlü Yüksek Koruma Çok Yönlü Güneş Kremi 50 SPF 50 ml,500.0,SPF 50 +,Hassas,Renksiz,Paraben İçermeyen,50 ml,Nemlendirici,Krem,https://www.trendyol.com/sebamed/sun-care-uva-uvb-filtresi-ve-e-vitamini-uclu-yuksek-koruma-cok-yonlu-gunes-kremi-50-spf-50-ml-p-115462376?boutiqueId=61&merchantId=346550,Tüp,Hayır,DE,https://www.trendyol.com/sebamed/sun-care-uva-uvb-filtresi-ve-e-vitamini-uclu-yuksek-koruma-cok-yonlu-gunes-kremi-50-spf-50-ml-p-115462376/yorumlar?boutiqueId=61&merchantId=346550
13,Luis Bien Ton Eşitleyici Pembe Güneş Kremi SPF 50+ | Leke Karşıtı & Nemlendirici | Tüm Ciltler İçin,199.0,SPF 50 +,Tüm Cilt Tipleri,Renkli,Anti Alerjik,50 ml,Leke Karşıtı Bakım,Krem,https://www.trendyol.com/luis-bien/ton-esitleyici-pembe-gunes-kremi-spf-50-leke-karsiti-nemlendirici-tum-ciltler-icin-p-678381616?boutiqueId=61&merchantId=786475,Tüp,Hayır,null,https://www.trendyol.com/luis-bien/ton-esitleyici-pembe-gunes-kremi-spf-50-leke-karsiti-nemlendirici-tum-ciltler-icin-p-678381616/yorumlar?boutiqueId=61&merchantId=786475
14,La Roche Posay Parlama Karşıtı Cilt Bakım Seti: Yağlı Ciltler İçinAnthelios Oil Control Gel Cream &Termal Su 50ML,663.0,SPF 50 +,Yağlı,Renksiz,null,null,Matlaştırıcı,Krem,https://www.trendyol.com/la-roche-posay/parlama-karsiti-cilt-bakim-seti-yagli-ciltler-icinanthelios-oil-control-gel-cream-termal-su-50ml-p-39632708?boutiqueId=61&merchantId=365501,Tüp,null,null,https://www.trendyol.com/la-roche-posay/parlama-karsiti-cilt-bakim-seti-yagli-ciltler-icinanthelios-oil-control-gel-cream-termal-su-50ml-p-39632708/yorumlar?boutiqueId=61&merchantId=365501
15,"Skin Sensual Leke Oluşumunu Önlemeye Yardımcı, Nemlendirme Etkili Güneş Kremi 50 Spf Uva/uvb Pa++++",328.0,SPF 50 +,Tüm Cilt Tipleri,Renksiz,Vegan,31 - 50 ml,Aydınlatıcı,Krem,https://www.trendyol.com/skin-sensual/leke-olusumunu-onlemeye-yardimci-nemlendirme-etkili-gunes-kremi-50-spf-uva-uvb-pa-p-712566175?boutiqueId=61&merchantId=106684,Tüp,Evet,TR,https://www.trendyol.com/skin-sensual/leke-olusumunu-onlemeye-yardimci-nemlendirme-etkili-gunes-kremi-50-spf-uva-uvb-pa-p-712566175/yorumlar?boutiqueId=61&merchantId=106684
