rating,review_text
1,Ozmak kozmetik satıcısından aldım urun sahte cıktı
1,"Çok kötü. yağlı bir cildim olmasına rağmen Cildimi aşırı kuruttu. pul pul oldu cildim. Ekstra krem kullanmama rağmen tahriş oldu cildim. Etrafımda herkes cildine ne oldu, mahfolmuş diye sormaya başladı. Sivilceyi kurutmakla cildi kurutmak arasındaki farkı karıştırmışlar. Kimseye tavsiye etmiyorum. Param çöp oldu maalesef."
1,yagli ve çok hassas bir cildim var. asssiri kuruttu
1,Değişen bişey Yok
1,Ürün orijinal değildi iade ettim başka bir satıcıdan aldım.
1,O kadar güzel ki yüzümdeki yagları aldı patates kızartıyoruz evde bugünün devrinde yag almak kolay mı
1,Orijinal değil hiç köpürmüyor kendi sayfasından alın
1,Ürünü yaklaşık 5 6 aydır kullanıyorum yüzümde belirli yerlerde akneler mevcut jeli kullanmaya başladıktan sonra daha çok arttı ancak jelden dolayı olduğunu düşünmemiştim 1 haftadır kullanmıyorum yüzümde hiçbirşey çıkmadı akneler de yavaş yavaş geçiyor akne probleminiz varsa bir süre kullanmamayı deneyin
1,yüzüm masfoldi
1,Çok yağlı ciltler için uygun bence.Çok fazla kurutuyor daha ucuza kat kat güzel ürünler var şişirme bir ürün.
1,Normalde eczaneden alıyorum ama burda kendi sayfasında indirimde görünce almak istedim fakat cosmolog diye bir firmadan geldi … sebebi nedir ?
1,Yuzumu aşiri kurutdu yuzum karma
1,Hep eczanedne alırdık sıkıntı yoktu.burdan aldım Eşimde alerji yaptı orjınallıgınden emın deılım
1,Bıze satılan fiyat 655
1,"Ürün sahte, alacaksanız eczaneden almalısınız"
1,cok severek kullanıyordum itrail mali oldugu icin biraktim
1,Her zaman kullandığım ürün. Sanırım içerik değişmiş. Çünkü cildimi kuruttu. Ve cildim pul pul oldu.
1,"yaklaşık 3 gündür kullanıyorum yüzde temiz bir his bırakıyor hafif gerildigini hissediyorum ,karma bi cildim var bunu kullanmama rağmen bi iki saat sonra burun ve çenem de yine yağlanma oluyor umarım düzenli kullanımda yüzüme iyi gelir."
1,Ürünü alalı çok oldu ama o zamanlar sahte ürün vs bilgim yoktu o yüzden fark edemedim ürünü üts den baktığımda sahte olduğunu fark ettim zaten bir işe yapamamasından anlamalıydım. Eczaneden başka yerden asla almam artık
1,Ürün açık bir şekilde geldi. Kargo kutusu açılmıştı.
1,bunu kullanmaya başladım iyice sivilcem çıktı ve şimdi roaccutane kullaniyorum
1,Orijinal değil
1,Tonik üts ye kayıtlı ama yüz yıkama jeli kayıtlı değildir
1,La roche posey in orijinal satıcısından aldığımı sandım ama kutuda Cosmolog yazıyordu. İade ettim. Bir daha hep eczaneden alıcam.
1,Güzel ürün
1,"Ürün sahte çıktı, Trendyol’a beni mağdur etmediği için çok teşekkür ederim."
1,Uzun yıllardır kullanıyorum yağlı cilt için. Ama bu ürün orjinal değil. Hep eczaneden alıyordum bu sefer trendyoldan aldım. Ürünün kokusu formu kesinlikle diğer kullandıklarım gibi değil. Kargolaması güzeldi ürün zarar görmeden geldi.
1,Bu satıcıdan kesinlikle almayın ürünün sahte oldugunu düşünüyorum mesaj attım ilgilenmediler de
1,Orjinal değil. Orjinal ambalaji ile farkli QR i bulunmuyor.
1,Kargo çok geçti isteğim dışında iade edildi
1,Resmen su gibiydi. Elime bir miktar alıp su ile köpürtmeye çalıştığımda köpürmedi bile. Eczaneden bu ürünün aynısını aldım ve resmen cildimi temizledi. Aradaki fark bariz belliydi.
1,Ben cosmolog satıcısından aldım. Bu satıcınım tüm ürünleri sahte! Ürünün kutusundaki barkod Üts de çıkıyor ancak içindeki barkod ÜTS ye kayıtlı değil. Ben bunu bilmeden 2 kez alıp yedekledim. Tercih etmeyin
1,Valla bu ürünü senelerce kullandım. Hiç bir etkisini göremedim. Yüzüm toparlamadı bir türlü. Cerave nin yüz temizleme jelleri bu ürüne fark atar.
1,5 Eylül de aldık ürünü teslimatindan bu yana güneş kremi ile birlikte düzenli olarak çeyreğini bile gelmeden kullanmamın üstüne yüzümde anlamsız kuruluk yaptı Sachane satıcısından aldım
1,Ürünler çok güzel paketleme sağlak mng kargo çok kötü
1,sıradan jel
1,Küçük olandandır diye aynı aynı değilmiş bu jel kıvamında
1,"I bought this facial gel from the seller LINA COSMO and it turned out to be a fake. Different bottle, typos in the text on the bottle, strange font with lots of spaces between letters, different consistency (too liquid) and different smell. Be aware."
1,cildimi inanılmaz kurutuyor
1,Üründen memnunum fakat cosmolog satıcısından geldi. Ben cosmolog satıcısından isteseydim oradan alırdım zaten.
1,barkod kayıtlı değil satıcı cosmolog
1,yağlı cilt için güzel cildimi kurttu
1,yeni elime ulaştı. Sonuçları merakla bekliyorum
1,"Yüzüm yağlı bir cilt ve yüzümü inanılmaz kurutuyor, yıkadıktan sonra aşı gerginlik yapıyor yüzümde"
1,"Sahte ürün gönderdiler iade ettim ,satıcı cosmolog"
1,bana ulaştığında kutu tamamen açıktı sahte olup olmayacağına güvenemediğim için hemen iad e kodu aldım
1,karma bi cildim var yuzumu tahris edip sivilcelendirdi…
1,Süper birsey.Cildi kuru olanlara uygun deyil daha da kurutuyor
1,Ne işe yaradığını anlamış değilim...
1,yüzümde kocaman sivilceler çıktı. keşke hiç almasaydim yazik oldu parama.
1,"Cosmolog satıcısından aldım. Bana gelen ürün sahte. Belki ambalajı değişmiş olabilir şüphesi ile eczacı arkadaşıma gösterdim, ürün kesinlikle sahte! Asla tavsiye etmiyorum!"
1,aşırı kuruttu yağlı cildim olmasına rağmen
1,Herkes çok abartıyordu bir deneyeyim dedim. Uzun zamandır düzenli kullandım ve hala kullanıyorum cildim karma. T bölgem yağlı ama etkisini bir türlü göremiyorum yani sıradan bi jel gibi... paraya değermi bilemedim. Ve en önemlisi HALA SİVİLCELERİM ÇOK AKTİF ŞEKİLDE ÇIKIYOR (çoğu kişide fake ürün diyor) 114 tl’ ye almıştım.
1,Elime ulaştı daha kullanmadım yorumlara bakılırsa çok güzel bi ürün
1,"hassas ve kuru cildiniz varsa dikkatli olun. cildi cok kurutuyor,iyi nemlendirmek gerek"
1,Arkadaşlar ürün orijinal değil sakın almayın. Her ürünün barkod numarası aynı
1,Orijinal değil kesinlikle.Rengi değişik.İade
1,Pek işe yaradığını düşğnöğurkım
1,cildim akneye meyilli yağlı bi cilt olmasına rağmen cildimi çok kuruttu rahatsız edici derecede
1,hayvanlarda deney yapan ürünleri satın almayalım artık..
1,Alın aldırın muhteşem
1,2 tane almıştım Ürün sahte geldi geri iade ettim ☹️
1,Ürünü daha önce kullandım çok seviyorum cildime iyi geliyor ama bu ürünün orijinal olup olmadığına emin olamadım.Bir daha eczaneden almaya devam edeceğim.
1,Çok güzel aşırı beğendim herkese tavsiye ederim kargo kötü
1,kesinlikle yağlı ciltlerin kullanması gerekiyor aşırı derecede kurutuyor normal ciltler bile kullanmasın bence satıcıdan dolayı bir sorun yaşamadım ürünü beğenmedim...
1,sivilceye yatkın bir cilde sahibim yüzümü kırmızı pul pul yaptı hiç memnun kalmadım. lekeler daha kırmızı oldu
1,bir haftadir kullanıyorum yüzümü mahfetti olmiyan sivilceleri bile çıkardi
1,Tavsiye ederim
1,1400 tl lik sipariş verdim tek üründe bile hediye gönderen satıcı hiçbir hediye göndermemiş. La roshe ürünlerini tek geçerim ama bir daha asla bu satıcıdan almam.
1,"1 puan veriyorum.Urun çok çok güzel ama gördüm ki küçük hediye alanlar var,bana özensiz kargolama olarak düşündüm.Hep alışverişi yaptigimiz firma ama üzüldüğün için 1 olarak değerlendirdim.Yoksa 5'5lik magaza"
1,kullanmaya başlayalı bir ay oldu karmadan kuruya dönük akneye eğimli bir cildim var tam çözüm oldu diyemem hâlâ küçük küçük sivilcelerim çıkıyor iyi nemlendirme yapmama ve yediklerime dikkat etmem rağmen kız kardeşimin cildi yağlı ve onda daha iyi etkisini gösterdi kuru ciltliler için cildini kurutabilir büyük boy çok uzun süre gider fiyatı artık
1,Bravo bu şekilde kargo gönderiyorsunuz
1,Sürekli kullandığım bir ürün
1,sorunsuz geldi yüzümde.temizlik hissi veriyo güzel bi temizleme yapıyo bayada büyük
1,"Çok güzel bir ürün fakat satıcı problemli , aynı ürünü başka satıcılardan alın bence. Gönderdik dediklerini ürün eksik ve yalanlıyorlar asla yardımcı bile olunmuyor"
1,İki adet verdiğim sipariş 1 adet gönderilmiş
1,biraz fazla kurutuyor cildi ama benim cildime baya iyi geldi
1,300 tl now ! What the ! Too expensive
1,Cosmolog firmasindan sipariş verdiğim ürün 11 Ekim tarihinde kargoya verilmesine rağmen Aras Kargo tarafından ürün kaybedildiği için elime ulaşamadı. İndirimli aldığım ürünün güncel fiyatları şu an min 50TL yukarıda.
1,"kafamin icine sictiniz a""k"
1,Ürün şahane bayıldım 🥰
1,yüzümnormaldı kuruttu çok şuan
1,gayet hızlıydı ama anlayamadigim tek nokta herkese hediye göndermişsiniz bana göndermemişsiniz. Bu fiyata küçük bi hediye olmalıydı bence
1,Ürün sağlam geldi ama bana da hediye göndermenizi beklerdim
1,Bir kişiye hediye gönderiliyosa herkese gönderilmesi lazım bence deneyip gene yorum yapıcam
1,Kullaninca guncelliyecegim
1,gönderici daha titiz çalışmalı cunku kargom patladıgını sadece telefonla öğrendim ve direk iade istedim ama para iadesi cabuk oldu
1,sipariş gelmeden mağaza kendi iadesin yaptı
1,orijinal olduğunu düşünmüyorum eczaneden alın
1,"Satıcıyı özellikle La roche olarak seçtim ve fiyat açısından diğer satıcılara göre daha fazla ödedim, buna rağmen cosmolog firmasından geldi iletişime geçtim size döneceğiz dediler 20 gün oldu arayan soran yok :D bravo gerçekten işinizi süper yapıyorsunuz"
1,İçinde hediye yoktu beni çok üzdü bu
1,ürün çok güzel .Benim sikayetim üstüne farklı fiyat yazıp benim farklı fiyata almam.😔
1,Hiç memnun kalmadım maalesef
1,paketleme özensiz bu satıcıyı tercih etmeyin
1,Gereksiz yere şişirilmiş bir ürün. Karma/normal/kuru ciltlere asla önermem. Cildi öyle bir kurutuyor ki yıkar yıkamaz hissediyorsunuz durumu. Aşşşırı yağlı bir cildiniz varsa size uyar.
1,keske biraz özenli paketlenseydi yarısı kutunun içine dökülmüş ürün güzel ama satıcı sikintili....
1,16 yıldır bu ürünü kullanıyorum. 3.kez bu sayfadan alıyorm ancak son aldıgım ürünün kokusu da farklı temizleme kalıtesi de. Yıllardır kullandıgım için kalıtesınde bi sıkıntı olduguna adım gibi eminim. Belkı de tarıhı gecmıstir bilmiyorum. Son üründe hayal kırıklıgına ugradım acıkcası. Hatanızı telafi etmenizi umuyorum
1,Ilk kullandigimda bi problem yoktu ama 5-6 defa kullandiktan sonra alerji yapmaya basladi cildim kizarib kasinmaya basladi cok ovuluyordu neden boyle oldu bilmiyorum
1,Herkese hediye gönderilmiş fakat bana gelmedi 2 ürün sipariş verdim ayrı ayrı günlerde geldi kargolama yavaştı
1,Kargo şirketinin nerelere teslimat yapıp yapmayacağına göre sipariş alın lütfen
1,ürünü indirimde ve kuponla almıştım ürün gelmedi tekrar iade oldu kendi kendilerine iadeye çıkardılar
1,Alın aldırın müthiş bir yüz temizleyici pamuk gibi oluyor cildiniz
1,Ürün orjinal değildir .
1,2 ürün sipariş vermeme rağmen hediye göndermemişsiniz. Bu nedenle 1 puan veriyorum.
1,"Aldığım satıcıyı hatırlamıyorum ama üç kez aldım cilt ürünleri internetten alınmamalı kesinlikle eczaneden alınmalı, sipariş ettiğim ürün resmen deterjan kokuyordu. Çöpe attım direkt."
1,Ürünü geçen sene Ocak ayı civarı stok amaçlı almıştım. Daha bugün sıra ona geldi (21-04-22) şişenin üstündeki yazılar!? Şişenin solukluğu!? Bir şüphe uyandırdı ve sorgulattım hemen. SAHTE ÇIKTI-COSMOLOG firmasından bir daha asla alış veriş yapmam. !!!
1,La roche posayden aldğm ürün cosmolog tarafından gönderildi
1,ürünler hep açık ambalaj la geldi bu güvenacisindan onemli
1,Çok kötü. Yüzümde hep sivilce çıkarttı.
1,Yüzümü kuruttu tahriş etti ürün orjinal değilll
1,sahte ürün
1,Kendi sitesinden sipariş verdim ancak ürün farklı bir satıcı tarafından gönderildi yaptığınız doğru değil
1,Bu ne saçma sapan iş ya ben la roche posay satıcından aldım fakat cosmolog tarafından gönderilmiş ben istesem ordan alırdım kendi ürününüzü göndermicekseniz satmıyacaksınız insanları kandırmayın orjınalliğinden şüphem var
1,La Roche Posay satıcısından ürünü almama rağmen farklı bir satıcıdan gönderdiler. Bu satıcı ile ilgili de yüzlerce şikayet var. Hem para vereceksiniz hem de sanki işiniz gücünüz yokmuş gibi uğraşacaksınız. İade ederseniz de indirim kampanyası bittiği için hem para hem zaman kaybedeceksiniz. THH’ye kadar uğraşabilecek vakti olanlar alsın.
1,Kapağı kırılmış kargoda
1,Bu ne saçmalık üzerindeki yazılar nerede
1,Ürüb aldığlm satıcıdan farklı satıcı tarafından gönderildi.
1,Ürünü la roche posay mağazasından aldığım halde cosmolog kutusuyla geldi. Güvenilir olmadığı için kendi satıcısından almayı tercih etmiştim. Madem satıcının ismini değiştirin ben cosmologdan almak istesem zaten oradan alırdım.
1,Fiyatı bi anda düşüp bi anda nasıl yükselebiliyor
1,"ben bu ürünü kokusundan tanırım.ortaokuldan beri şişelerce bitirdim. bu sefer bitmeden annem almış. son aldığım kutuyu eczaneden almıştım hatta fransadan. koku kesinlikle çok farklı. ben bu ürünün kokusunu her yerden anlarım, yine de karşılaştırdım ürünün kokusu tamamen farklı. yazık oldu paramıza."
1,yalnış ürün geldii La Roche beni yanıltdın!!!
1,Ürün yüzümü kuruttu
1,Cildimi sadece kurutuyor o yüzden beğenmedim
1,Trendyol satıcısına bir lafım yok. kargoda sorunsuz ürünün markasıyla ilgili sorun yaşadım. Ürünü kullanmaya bir kaç tane civilcelerimin geçmesi için başladım ve bir süre sonra farkettim ki yüzünüzü sonsuz kusturuyor arkadaşlar bu sebepten dolayı bıraktım ve birdaha yüzüm eskisi gibi olmadı hala yüzümü kusturuyor. ve bunca zaman yüz bölgenizde çıkm
1,Karma ciltleri çok kurutuyor maalesefki
1,Bu marka ürünlerini göndermiyor boşuna sipariş vermeyin
1,kesinlikle alinmaz eczaneden alın
1,Her zaman aldığım ürün sivilcelerime iyi geliyor ama kendi satıcısından almama rağmen cosmologdan geldi
1,sahte ürün göndermekte üstünüze yok! orijinal satıcıdan almama rağmen başka satıcıdan göndermişler. ilk kullandığımda bir şey olmadı ama düzenli kullanınca yüzüm kupkuru oldu pul pul döküldü resmen. iyi yorumlara aldanıp sakın almayın!!
1,"Kargo sağlam idi, məhsul yararsız idi qırılıb tökülmüşdü qırıq məhsul göndəriblər"
1,yüzümü çok fazla kuruttu kullanırken aşırı derecede kesinlikle kullanmayın yüzünüz çok kötü değilse almayın aldırmayın
1,"ürün orjinal değil,kokusundan bile belli satıcı la Roche posay olmasına rağmen başka satıcıdan geldi sakın almayın cildiniz mahvolur"
1,farklı satıcıdan geldi ürün içinde fatura bile yok. Orjinalliğinden asla emin değilim. sakın almayın
1,La roche posay satıcısından aldım cosmolog göndermiş nasıl oluyo böyle bir şey anlamadım
1,ÜRÜN SAHTE❗ •Kesinlikle önermiyorum yorumlara bakarak aldım siz sakınkanmayın.!!! 2 ay boyunca düzenli bir şekilde kullandım hiç birfaydasını göremedim kullanmayı bıraktım artık. Yüzümü çook fazla kuruttuher gün nemlendirmeme rağmen yüzümü mahvetti.🫥
1,Siparish eksik geldi
1,Ürün yanlış gönderilmiş efendim
